ticker,sector,roe,roa,profit_margin,operating_margin,debt_to_equity,current_ratio,revenue_growth,eps_growth,asset_turnover,pe_ratio,pb_ratio,ps_ratio,peg_ratio,ev_ebitda,fcf_yield,market_cap,revenue,net_income,free_cash_flow,label
BG,Consumer Defensive,11.469787148189246,4.56644845174505,2.1409203886420127,3.0447390223695114,0.7181478866135378,2.1463349024882312,-10.802821632515956,-46.0,213.2937065745612,10.650901,1.1601349,0.31479254,,16.519,2.7692830173893994,18921865216,53108000000.0,1137000000.0,524000000.0,bad_quality_undervalued
BXP,Real Estate,0.26318308060295337,0.05471347879124308,0.41881387520508584,29.9887109236413,3.1319505771974505,2.509236913056423,4.097973801682507,0.0,13.063912642447875,37.454544,2.219054,3.6174433,,15.816,9.963822171480235,12389833728,3407719000.0,14272000.0,1234501000.0,bad_quality_undervalued
CHRW,Industrials,27.04275308919422,8.790043500041337,2.6273125868408362,3.775134900193829,1.0110803919279976,1.2773046387411404,0.7303351023840443,67.5,334.56405393355817,30.704453,9.6722355,1.0856879,0.4548807851851852,22.137,2.4264461898770837,17919045632,17724956000.0,465690000.0,434796000.0,bad_quality_overvalued
CDNS,Technology,22.58406728206954,11.76094620280034,22.741304954857124,29.615380637688354,0.5531256780137188,2.9312198700099628,13.478725844049343,20.7,51.71623275861492,77.46906,15.737172,15.712816,3.7424666666666666,43.219,1.365006466759602,81905033216,4641264000.0,1055484000.0,1118009000.0,good_quality_overvalued
CZR,Consumer Cyclical,-6.687515034880924,-0.8530223995090519,-2.4722098710538014,20.23121387283237,6.028866971373587,0.7689260563380281,-2.4548924358084663,0.0,34.5044492175514,15.910447,1.1556182,0.3900413,,8.492,-5.322052669602236,4434379264,11245000000.0,-278000000.0,-236000000.0,bad_quality_undervalued
CPT,Real Estate,3.492750467466833,1.8446717540970867,10.57705386950219,19.25482011760271,0.7455493863575403,0.10116462086593969,0.11770221922184242,0.0,17.440317283586893,42.60324,2.5151174,7.123615,,16.787,3.3897027139916753,11244112896,1543842000.0,163293000.0,381142000.0,bad_quality_overvalued
CPB,Consumer Defensive,15.427985648385443,4.041353383458646,5.8714522578757435,13.1961377157905,1.8482829318298308,0.7680660701995871,6.403071814030718,0.0,68.83055853920516,15.751244,2.4179013,0.92016417,,8.739,7.472619406700493,9434442752,10253000000.0,602000000.0,705000000.0,bad_quality_undervalued
COF,Financial Services,7.814556462226902,0.9691029574982046,12.144610349764779,9.715688279811822,0.7401454330086865,1.5,6.320167450458042,9.5,7.9796957628778475,71.43298,1.2190287,4.602107,7.519261052631579,0.0,12.754213723213454,132936458240,39112000000.0,4750000000.0,16955000000.0,bad_quality_undervalued
CAH,Healthcare,0.0,2.938518881066225,0.7013271751925167,1.0432297891076385,,0.9351106769159575,-1.873233786101302,10.6,418.99401377960163,31.643505,-17.31669,0.21241693,2.985236320754717,15.338,3.7169933944097644,49771409408,222578000000.0,1561000000.0,1850000000.0,bad_quality_overvalued
KMX,Consumer Cyclical,8.017891432756239,1.8265663307303996,1.899396738639615,-0.8367794388735883,3.0789706787839415,2.3101469491635696,-0.6881961287366163,-24.8,96.16560319244427,10.360704,0.84143096,0.1874853,,21.275,2.9516886136402394,5302049792,26353420000.0,500556000.0,156500000.0,bad_quality_undervalued
CCL,Consumer Cyclical,20.70903588413316,3.905660761970769,7.657567643179728,14.284001438791416,3.121054907047125,0.2907807523457003,15.875515213263558,6.0,51.00393419899301,13.690721,2.9215708,1.3729405,2.2817868333333333,8.739,3.601554388977403,36012228608,25021000000.0,1916000000.0,1297000000.0,bad_quality_undervalued
CARR,Industrials,39.798309779135,14.982755393952358,24.922173797029263,9.330249933291826,0.9026347560542575,1.253294475418145,18.653369215344835,0.5,60.11817233911718,32.75625,3.048511,2.0220375,65.5125,15.175,0.09865005060984357,44602105856,22486000000.0,5604000000.0,44000000.0,good_quality_overvalued
CAT,Industrials,55.369144733466726,12.296613645686158,16.65200820873644,20.170038111990618,1.970601816222872,1.4155304908279622,-3.3566954965702354,-3.5999999999999996,73.84462877717515,28.241663,12.469247,4.0029607,,20.955,3.407043497185691,258875473920,64809000000.0,10792000000.0,8820000000.0,good_quality_overvalued
CBOE,Financial Services,17.873165716422097,9.820133263149785,18.681157650506776,28.83624374160459,0.37370314982708663,1.776877866972477,8.506691400556512,37.7,52.56704882463956,27.161291,5.4107313,5.7241983,0.720458647214854,17.7,3.933310510482893,26433204224,4094500000.0,764900000.0,1039700000.0,good_quality_overvalued
